[2024-12-11 20:31:21] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2024-12-11 20:32:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.css
[2024-12-11 20:32:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.min.css
[2024-12-11 20:32:31] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css
[2024-12-11 20:32:32] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css
[2024-12-11 20:32:32] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css
[2024-12-11 20:32:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.min.css
[2024-12-11 20:32:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css
[2024-12-11 20:32:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css
[2024-12-11 20:32:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css
[2024-12-11 20:32:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.min.css
[2024-12-11 20:32:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.css
[2024-12-11 20:32:35] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.min.css
[2024-12-11 20:32:35] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css
[2024-12-11 20:32:35] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css
[2024-12-11 20:32:36] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.css
[2024-12-11 20:32:36] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.min.css
